topicId,rank,docId,filename
1,1,36,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbi
1,2,20,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xas
1,3,420,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqc
1,4,312,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xly
1,5,369,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xod
1,6,398,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpg
1,7,470,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xsa
1,8,389,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xox
1,9,437,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqt
1,10,419,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqb
1,11,388,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xow
1,12,18,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xaq
1,13,418,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqa
1,14,24,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xaw
1,15,37,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbj
1,16,456,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xrm
1,17,395,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpd
1,18,41,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbn
1,19,26,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xay
1,20,416,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpy
1,21,53,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbz
1,22,17,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xap
1,23,459,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xrp
1,24,346,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xng
1,25,471,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xsb
1,26,14,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xam
1,27,359,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xnt
1,28,414,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpw
1,29,349,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xnj
1,30,446,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xrc
1,31,396,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpe
1,32,354,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xno
1,33,391,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xoz
1,34,318,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xme
1,35,29,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbb
1,36,311,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xlx
1,37,54,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xca
1,38,358,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xns
1,39,449,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xrf
1,40,393,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpb
1,41,403,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpl
1,42,404,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpm
1,43,44,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbq
1,44,39,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbl
1,45,442,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqy
1,46,62,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xci
1,47,340,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xna
1,48,386,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xou
1,49,102,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdw
1,50,328,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xmo
1,51,60,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcg
1,52,402,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpk
1,53,316,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xmc
1,54,309,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xlv
1,55,426,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqi
1,56,343,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xnd
1,57,458,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xro
1,58,30,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbc
1,59,385,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xot
1,60,319,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xmf
1,61,306,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xls
1,62,96,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdq
1,63,384,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xos
1,64,313,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xlz
1,65,347,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xnh
1,66,413,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpv
1,67,293,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xlf
1,68,131,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xez
1,69,19,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xar
1,70,15,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xan
1,71,407,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpp
1,72,75,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcv
1,73,392,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpa
1,74,348,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xni
1,75,314,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xma
1,76,191,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xhh
1,77,3,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xab
1,78,450,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xrg
1,79,422,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqe
1,80,99,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdt
1,81,51,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbx
1,82,454,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xrk
1,83,457,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xrn
1,84,332,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xms
1,85,171,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xgn
1,86,159,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xgb
1,87,49,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbv
1,88,452,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xri
1,89,317,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xmd
1,90,111,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xef
1,91,46,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbs
1,92,387,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xov
1,93,281,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xkt
1,94,138,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xfg
1,95,35,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbh
1,96,16,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xao
1,97,400,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpi
1,98,357,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xnr
1,99,50,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbw
1,100,390,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xoy
1,101,344,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xne
1,102,184,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xha
1,103,45,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbr
1,104,372,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xog
1,105,415,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpx
1,106,350,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xnk
1,107,315,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xmb
1,108,167,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xgj
1,109,143,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xfl
1,110,31,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbd
1,111,433,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqp
1,112,430,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqm
1,113,367,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xob
1,114,160,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xgc
1,115,466,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xrw
1,116,427,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqj
1,117,408,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpq
1,118,379,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xon
1,119,231,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xiv
1,120,363,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xnx
1,121,423,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqf
1,122,399,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xph
1,123,375,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xoj
1,124,186,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xhc
1,125,435,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqr
1,126,394,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpc
1,127,370,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xoe
1,128,365,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xnz
1,129,337,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xmx
1,130,67,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcn
1,131,154,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xfw
1,132,147,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xfp
1,133,434,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqq
1,134,38,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbk
1,135,8,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xag
1,136,429,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xql
1,137,425,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqh
1,138,417,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpz
1,139,156,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xfy
1,140,61,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xch
1,141,4,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xac
1,142,462,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xrs
1,143,185,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xhb
1,144,73,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xct
1,145,381,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xop
1,146,351,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xnl
1,147,271,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xkj
1,148,137,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xff
1,149,40,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbm
1,150,436,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xqs
1,151,28,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xba
1,152,405,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpn
1,153,336,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xmw
1,154,266,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xke
1,155,170,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xgm
1,156,146,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xfo
1,157,43,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbp
1,158,132,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xfa
1,159,331,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xmr
1,160,322,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xmi
1,161,192,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xhi
1,162,140,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xfi
1,163,101,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdv
1,164,380,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xoo
1,165,163,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xgf
1,166,11,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xaj
1,167,411,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xpt
1,168,378,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xom
1,169,303,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xlp
