docId,filename,top topics, and contribution to doc ...
1,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/.DS_Store,4,0.500,3,0.500
2,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xaa,4,0.333,3,0.333,2,0.167,1,0.167
3,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xab,4,0.466,5,0.253,2,0.150,1,0.102,3,0.029
4,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xac,4,0.374,5,0.286,1,0.192,2,0.137,3,0.011
5,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xad,5,0.458,1,0.271,4,0.186,2,0.085
6,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xae,5,0.407,1,0.356,4,0.169,2,0.068
7,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xaf,4,0.399,5,0.287,2,0.240,1,0.066
8,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xag,4,0.343,5,0.254,1,0.213,2,0.160,3,0.030
9,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xah,2,0.429,4,0.229,5,0.143,1,0.143,3,0.057
10,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xai,4,0.344,5,0.291,2,0.225,1,0.099,3,0.040
11,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xaj,4,0.428,2,0.239,5,0.235,1,0.083,3,0.015
12,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xak,5,0.390,4,0.378,2,0.140,1,0.076,3,0.017
13,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xal,5,0.244,2,0.244,4,0.222,1,0.156,3,0.133
14,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xam,1,0.261,4,0.255,5,0.229,2,0.176,3,0.079
15,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xan,1,0.281,5,0.263,4,0.211,2,0.162,3,0.083
16,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xao,1,0.349,2,0.221,4,0.208,5,0.121,3,0.101
17,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xap,2,0.280,5,0.277,1,0.206,4,0.150,3,0.087
18,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xaq,2,0.332,1,0.273,4,0.190,5,0.158,3,0.047
19,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xar,5,0.294,2,0.271,1,0.251,4,0.145,3,0.039
20,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xas,1,0.400,5,0.241,2,0.163,4,0.162,3,0.033
21,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xat,4,0.350,5,0.325,2,0.225,1,0.075,3,0.025
22,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xau,5,0.316,1,0.316,2,0.211,4,0.105,3,0.053
23,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xav,1,0.488,5,0.209,2,0.209,4,0.070,3,0.023
24,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xaw,5,0.369,2,0.242,1,0.230,4,0.136,3,0.023
25,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xax,2,0.649,4,0.243,5,0.054,1,0.054
26,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xay,2,0.341,5,0.285,1,0.225,4,0.116,3,0.032
27,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xaz,3,0.462,5,0.202,1,0.192,2,0.077,4,0.067
28,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xba,5,0.333,3,0.301,1,0.169,4,0.098,2,0.098
29,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbb,1,0.398,2,0.241,5,0.225,4,0.088,3,0.048
30,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbc,5,0.371,2,0.277,1,0.199,4,0.091,3,0.062
31,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbd,5,0.301,1,0.288,3,0.160,2,0.160,4,0.090
32,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbe,3,0.800,1,0.200
33,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbf,3,0.833,4,0.107,2,0.060
34,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbg,3,0.862,1,0.069,5,0.052,4,0.017
35,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbh,3,0.374,1,0.335,5,0.129,4,0.129,2,0.032
36,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbi,1,0.327,2,0.276,5,0.206,4,0.152,3,0.039
37,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbj,1,0.424,2,0.225,4,0.220,5,0.123
38,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbk,2,0.436,1,0.224,5,0.194,4,0.115,3,0.030
39,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbl,2,0.338,1,0.269,4,0.181,5,0.178,3,0.033
40,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbm,1,0.500,2,0.328,5,0.078,4,0.063,3,0.031
41,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbn,1,0.401,2,0.278,5,0.249,4,0.059,3,0.013
42,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbo,1,0.283,5,0.239,4,0.217,2,0.217,3,0.043
43,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbp,5,0.402,1,0.345,4,0.149,2,0.092,3,0.011
44,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbq,1,0.368,5,0.322,2,0.182,4,0.120
45,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbr,1,0.429,5,0.295,4,0.143,2,0.107,3,0.027
46,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbs,5,0.431,1,0.293,2,0.182,4,0.088
47,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbt,5,0.517,2,0.241,1,0.172,4,0.034,3,0.034
48,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbu,5,0.594,4,0.188,1,0.125,2,0.094
49,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbv,1,0.400,5,0.289,4,0.156,2,0.148
50,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbw,5,0.291,2,0.291,1,0.198,3,0.146,4,0.073
51,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbx,5,0.415,1,0.317,4,0.148,2,0.109,3,0.011
52,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xby,5,0.450,1,0.300,2,0.150,4,0.100
53,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xbz,5,0.520,1,0.156,4,0.128,2,0.125,3,0.071
54,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xca,1,0.516,5,0.346,4,0.064,2,0.048,3,0.027
55,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcb,3,0.807,4,0.074,1,0.059,5,0.044,2,0.015
56,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcc,5,0.565,2,0.258,1,0.097,4,0.065,3,0.016
57,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcd,5,0.594,4,0.219,1,0.094,2,0.063,3,0.031
58,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xce,3,0.444,5,0.246,1,0.111,4,0.103,2,0.095
59,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcf,5,0.553,2,0.221,4,0.115,1,0.082,3,0.029
60,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcg,5,0.478,4,0.181,1,0.170,2,0.161,3,0.011
61,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xch,5,0.454,1,0.230,4,0.204,2,0.099,3,0.013
62,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xci,5,0.472,4,0.194,2,0.167,1,0.134,3,0.033
63,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcj,2,0.491,5,0.232,4,0.223,1,0.036,3,0.018
64,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xck,2,0.471,5,0.229,4,0.200,1,0.071,3,0.029
65,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcl,5,0.615,1,0.187,2,0.110,4,0.066,3,0.022
66,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcm,3,0.500,5,0.250,1,0.250
67,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcn,5,0.535,1,0.154,2,0.142,4,0.138,3,0.031
68,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xco,5,0.301,2,0.253,4,0.205,1,0.169,3,0.072
69,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcp,3,0.885,2,0.051,1,0.051,4,0.013
70,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcq,3,0.937,5,0.032,2,0.016,1,0.016
71,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcr,3,0.892,4,0.062,5,0.031,1,0.015
72,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcs,3,0.853,1,0.049,5,0.045,2,0.036,4,0.018
73,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xct,3,0.390,5,0.250,1,0.207,2,0.079,4,0.073
74,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcu,5,0.333,1,0.254,4,0.238,2,0.175
75,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcv,5,0.311,3,0.231,4,0.206,2,0.137,1,0.115
76,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcw,3,1.000
77,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcx,3,0.878,4,0.047,5,0.041,2,0.020,1,0.014
78,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcy,3,0.898,5,0.041,1,0.041,4,0.020
79,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xcz,3,0.800,5,0.090,4,0.070,1,0.030
80,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xda,3,0.717,4,0.086,1,0.086,2,0.057,5,0.053
81,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdb,3,0.714,5,0.143,4,0.071,1,0.054,2,0.018
82,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdc,3,1.000
83,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdd,3,0.821,4,0.077,2,0.051,1,0.051
84,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xde,3,0.842,1,0.079,4,0.053,5,0.026
85,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdf,3,1.000
86,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdg,3,0.772,5,0.076,1,0.065,4,0.043,2,0.043
87,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdh,3,0.861,2,0.056,1,0.056,5,0.028
88,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdi,3,0.971,5,0.029
89,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdj,3,0.429,4,0.286,1,0.143,2,0.095,5,0.048
90,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdk,3,0.773,1,0.100,4,0.064,5,0.045,2,0.018
91,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdl,3,0.878,5,0.049,1,0.049,2,0.024
92,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdm,3,0.649,1,0.156,5,0.091,4,0.065,2,0.039
93,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdn,3,0.833,5,0.083,1,0.083
94,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdo,3,0.918,1,0.031,5,0.023,4,0.016,2,0.012
95,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdp,4,0.310,1,0.310,5,0.276,2,0.069,3,0.034
96,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdq,4,0.401,2,0.298,1,0.147,5,0.112,3,0.043
97,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdr,4,0.346,2,0.346,5,0.226,1,0.053,3,0.030
98,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xds,4,0.327,2,0.308,1,0.192,5,0.173
99,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdt,5,0.397,2,0.282,4,0.211,1,0.083,3,0.027
100,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdu,5,0.528,4,0.189,2,0.151,1,0.132
101,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdv,5,0.556,4,0.164,1,0.148,2,0.122,3,0.011
102,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdw,5,0.501,2,0.215,1,0.179,4,0.086,3,0.018
103,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdx,2,0.667,3,0.333
104,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdy,2,0.429,5,0.190,4,0.143,1,0.143,3,0.095
105,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xdz,5,0.472,2,0.226,1,0.170,4,0.094,3,0.038
106,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xea,2,0.446,5,0.357,4,0.089,3,0.089,1,0.018
107,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xeb,5,0.550,2,0.175,3,0.125,1,0.125,4,0.025
108,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xec,3,0.791,2,0.072,4,0.052,5,0.046,1,0.039
109,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xed,3,0.280,2,0.220,5,0.195,1,0.169,4,0.136
110,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xee,4,0.411,5,0.219,1,0.151,2,0.137,3,0.082
111,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xef,5,0.265,1,0.238,2,0.215,3,0.170,4,0.112
112,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xeg,3,0.483,5,0.230,1,0.138,2,0.080,4,0.069
113,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xeh,3,0.681,5,0.130,2,0.087,1,0.059,4,0.043
114,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xei,3,0.667,1,0.333
115,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xej,5,0.519,4,0.241,2,0.111,3,0.083,1,0.046
116,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xek,2,0.483,1,0.241,5,0.172,3,0.103
117,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xel,5,0.361,2,0.306,4,0.139,1,0.139,3,0.056
118,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xem,5,0.750,3,0.250
119,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xen,1,0.308,3,0.269,2,0.192,5,0.154,4,0.077
120,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xeo,5,0.462,1,0.192,4,0.135,3,0.115,2,0.096
121,/Users/brianrosenblum/Desktop/./t/texts/jesuati-test/xep,2,0.323,5,0.290,3,0.226,1,0.129,4,0.032
