topicId,words..
1,make water warm ounce boil remove drams lb body christ
2,powder morning dry half slow fresh cooked sun greatly fever
3,evening great turpentine stone spoonful aloe cures rules maria sage
4,ounces things unguent pain incorporate hour fine incense put virtues
5,oil cured tested day finely patient honey time ground cloth
6,days clean glass cold dram grind heat salt power wood
7,fire good rub made fine place red head form sugar
8,cure rose oil juice stomach blood handful sleep sore powdered
9,put wine white times give wax amen son amount fat
10,god drink holy cut vinegar save mix father distill hair
