topicId,words..
1,holy god christ amen son spirit father
2,ounces syrup morning spleen give ounce juice
3,pain times fat rub put ointment male
4,oil put fire made rub grind add
5,put fire place cover large glass bottom
6,ounces fire wax unguent ounce made white
7,put cure warm poultice flour sore cloth
8,make sleep tested evening give womb drink
9,put clean boil fire pot lb strain
10,put juice water eyes fresh white cured
11,drams ounce make fine ounces powder rose
12,water put distill days lb distilled glass
13,things eat body time days god day
14,horse worms give neck man animal body
15,wine good make brandy drink distillation made
16,flowers honey make cloves electuary dram cinnamon
17,put herb powder plaster gum stay drams
18,make head powder rub hair fine incorporate
19,warm drink morning give powder stone early
20,stomach good bad warm dry cold made
21,powerful water cures removes virtues face distress
22,put vinegar times remove strong wash wet
23,water flesh remove day tested wound wounds
24,blood cure cured sick stay sickness person
25,warm boil wine cured good white handful
